usrid,enroldate
19053,"2017-01-13"
19317,"2017-01-10"
22186,"2017-01-07"
22780,"2017-01-07"
23894,"2017-01-07"
23919,"2017-01-07"
26801,"2017-01-17"
29510,"2017-01-07"
29962,"2017-01-07"
31141,"2017-01-07"
31327,"2017-01-07"
32781,"2017-01-07"
33183,"2017-01-07"
33267,"2017-01-07"
33297,"2017-01-07"
34500,"2017-01-07"
35274,"2017-01-07"
35291,"2017-01-07"
35552,"2017-01-20"
36008,"2017-01-07"
36453,"2017-01-07"
36470,"2017-01-07"
36743,"2017-01-07"
36834,"2017-01-07"
36841,"2017-01-17"
36918,"2017-01-07"
37044,"2017-01-07"
37183,"2017-01-07"
37296,"2017-01-07"
37298,"2017-01-07"
37543,"2017-01-07"
37710,"2017-01-07"
37873,"2017-01-07"
38011,"2017-01-07"
38259,"2017-01-07"
38303,"2017-01-07"
38332,"2017-01-07"
38418,"2017-01-07"
38592,"2017-01-07"
38610,"2017-01-07"
38743,"2017-01-07"
38749,"2017-01-07"
39035,"2017-01-07"
39153,"2017-01-07"
39159,"2017-01-07"
39162,"2017-01-07"
39166,"2017-01-07"
39224,"2017-01-07"
39260,"2017-01-07"
39489,"2017-01-07"
39586,"2017-01-07"
39725,"2017-01-07"
39778,"2017-01-07"
39790,"2017-01-07"
39799,"2017-01-07"
39973,"2017-01-07"
39986,"2017-01-07"
40021,"2017-01-07"
40171,"2017-01-07"
40232,"2017-01-07"
40293,"2017-01-07"
40319,"2017-01-07"
40372,"2017-01-07"
40397,"2017-01-07"
40462,"2017-01-07"
40534,"2017-01-07"
40623,"2017-01-07"
40795,"2017-01-07"
40856,"2017-01-07"
40942,"2017-01-07"
41018,"2017-01-07"
41037,"2017-01-07"
41226,"2017-01-07"
41352,"2017-01-07"
41427,"2017-01-07"
41522,"2017-01-07"
41643,"2017-01-07"
41647,"2017-01-07"
41700,"2017-01-07"
41722,"2017-01-07"
41746,"2017-01-07"
41797,"2017-01-07"
41818,"2017-01-07"
42020,"2017-01-07"
42055,"2017-01-07"
42085,"2017-01-07"
42093,"2017-01-07"
42114,"2017-01-07"
42124,"2017-01-07"
42153,"2017-01-07"
42163,"2017-01-07"
42181,"2017-01-07"
42210,"2017-01-07"
42221,"2017-01-07"
42243,"2017-01-07"
42281,"2017-01-07"
42305,"2017-01-07"
42407,"2017-01-07"
42409,"2017-01-07"
42437,"2017-01-07"
42444,"2017-01-07"
42449,"2017-01-07"
42504,"2017-01-07"
42548,"2017-01-07"
42554,"2017-01-07"
42603,"2017-01-07"
42605,"2017-01-07"
42613,"2017-01-07"
42618,"2017-01-07"
42621,"2017-01-07"
42623,"2017-01-07"
42631,"2017-01-07"
42658,"2017-01-07"
42690,"2017-01-07"
42696,"2017-01-07"
42697,"2017-01-07"
42734,"2017-01-07"
42772,"2017-01-07"
42831,"2017-01-07"
42849,"2017-01-07"
42853,"2017-01-07"
42864,"2017-01-07"
42871,"2017-01-07"
42883,"2017-01-07"
42894,"2017-01-07"
42899,"2017-01-07"
42954,"2017-01-07"
42977,"2017-01-07"
42988,"2017-01-07"
42997,"2017-01-07"
43014,"2017-01-07"
43036,"2017-01-07"
43040,"2017-01-07"
43042,"2017-01-07"
43053,"2017-01-07"
43069,"2017-01-07"
43073,"2017-01-07"
43112,"2017-01-07"
43134,"2017-01-07"
43157,"2017-01-07"
43173,"2017-01-07"
43180,"2017-01-07"
43238,"2017-01-07"
43261,"2017-01-07"
43265,"2017-01-07"
43272,"2017-01-07"
43275,"2017-01-07"
43276,"2017-01-07"
43286,"2017-01-07"
43300,"2017-01-07"
43315,"2017-01-07"
43321,"2017-01-07"
43409,"2017-01-07"
43490,"2017-01-07"
43495,"2017-01-07"
43500,"2017-01-07"
43506,"2017-01-07"
43511,"2017-01-07"
43564,"2017-01-07"
43570,"2017-01-07"
43573,"2017-01-07"
43576,"2017-01-07"
43608,"2017-01-07"
43623,"2017-01-07"
43626,"2017-01-07"
43661,"2017-01-07"
43665,"2017-01-07"
43671,"2017-01-07"
43678,"2017-01-07"
43763,"2017-01-07"
43810,"2017-01-07"
43825,"2017-01-07"
43826,"2017-01-07"
43847,"2017-01-07"
43854,"2017-01-07"
43871,"2017-01-07"
43877,"2017-01-07"
43895,"2017-01-07"
43903,"2017-01-07"
43910,"2017-01-07"
43925,"2017-01-07"
43926,"2017-01-07"
43927,"2017-01-07"
43935,"2017-01-07"
43942,"2017-01-07"
43951,"2017-01-07"
43956,"2017-01-07"
43958,"2017-01-07"
43961,"2017-01-07"
43971,"2017-01-07"
43979,"2017-01-07"
43980,"2017-01-07"
43982,"2017-01-07"
43988,"2017-01-07"
43995,"2017-01-07"
44000,"2017-01-07"
44032,"2017-01-07"
44034,"2017-01-07"
44036,"2017-01-07"
44047,"2017-01-07"
44051,"2017-01-07"
44063,"2017-01-07"
44067,"2017-01-07"
44074,"2017-01-07"
44076,"2017-01-07"
44087,"2017-01-07"
44093,"2017-01-07"
44094,"2017-01-07"
44103,"2017-01-07"
44105,"2017-01-07"
44116,"2017-01-07"
44118,"2017-01-07"
44122,"2017-01-07"
44126,"2017-01-07"
44131,"2017-01-07"
44132,"2017-01-07"
44135,"2017-01-07"
44149,"2017-01-07"
