usrid,enroldate
44157,"2017-01-07"
44170,"2017-01-07"
44171,"2017-01-07"
44182,"2017-01-07"
44188,"2017-01-07"
44199,"2017-01-07"
44207,"2017-01-07"
44243,"2017-01-07"
44249,"2017-01-07"
44255,"2017-01-07"
44257,"2017-01-07"
44261,"2017-01-07"
44262,"2017-01-07"
44263,"2017-01-07"
44269,"2017-01-07"
44274,"2017-01-07"
44279,"2017-01-07"
44284,"2017-01-07"
44288,"2017-01-07"
44295,"2017-01-07"
44299,"2017-01-07"
44301,"2017-01-07"
44303,"2017-01-07"
44306,"2017-01-07"
44311,"2017-01-07"
44315,"2017-01-07"
44317,"2017-01-07"
44318,"2017-01-07"
44326,"2017-01-07"
44327,"2017-01-07"
44332,"2017-01-07"
44334,"2017-01-07"
44336,"2017-01-07"
44376,"2017-01-07"
44387,"2017-01-07"
44391,"2017-01-07"
44395,"2017-01-07"
44398,"2017-01-07"
44400,"2017-01-07"
44404,"2017-01-07"
44411,"2017-01-07"
44415,"2017-01-07"
44416,"2017-01-07"
44428,"2017-01-07"
44429,"2017-01-07"
44435,"2017-01-07"
44470,"2017-01-07"
44486,"2017-01-07"
44489,"2017-01-07"
44495,"2017-01-07"
44496,"2017-01-07"
44497,"2017-01-07"
44498,"2017-01-07"
44501,"2017-01-07"
44506,"2017-01-07"
44508,"2017-01-07"
44509,"2017-01-07"
44513,"2017-01-07"
44519,"2017-01-07"
44521,"2017-01-07"
44530,"2017-01-07"
44543,"2017-01-07"
44546,"2017-01-07"
44547,"2017-01-07"
44555,"2017-01-07"
44557,"2017-01-07"
44558,"2017-01-07"
44560,"2017-01-07"
44561,"2017-01-07"
44564,"2017-01-07"
44566,"2017-01-07"
44573,"2017-01-07"
44580,"2017-01-07"
44581,"2017-01-07"
44583,"2017-01-07"
44587,"2017-01-07"
44600,"2017-01-07"
44601,"2017-01-07"
44606,"2017-01-07"
44608,"2017-01-07"
44609,"2017-01-07"
44617,"2017-01-07"
44621,"2017-01-07"
44622,"2017-01-07"
44626,"2017-01-07"
44635,"2017-01-07"
44638,"2017-01-07"
44642,"2017-01-07"
44643,"2017-01-07"
44645,"2017-01-07"
44659,"2017-01-07"
44660,"2017-01-07"
44661,"2017-01-07"
44665,"2017-01-07"
44674,"2017-01-07"
44675,"2017-01-07"
44681,"2017-01-07"
44683,"2017-01-07"
44686,"2017-01-07"
44687,"2017-01-07"
44690,"2017-01-07"
44695,"2017-01-07"
44734,"2017-01-07"
44735,"2017-01-07"
44737,"2017-01-07"
44743,"2017-01-07"
44745,"2017-01-07"
44746,"2017-01-07"
44748,"2017-01-07"
44751,"2017-01-07"
44752,"2017-01-07"
44753,"2017-01-07"
44754,"2017-01-07"
44757,"2017-01-07"
44761,"2017-01-07"
44762,"2017-01-07"
44764,"2017-01-07"
44765,"2017-01-07"
44768,"2017-01-07"
44774,"2017-01-07"
44776,"2017-01-07"
44780,"2017-01-07"
44790,"2017-01-07"
44791,"2017-01-07"
44792,"2017-01-07"
44794,"2017-01-07"
44795,"2017-01-07"
44796,"2017-01-07"
44797,"2017-01-07"
44799,"2017-01-07"
44800,"2017-01-07"
44801,"2017-01-07"
44802,"2017-01-07"
44814,"2017-01-07"
44817,"2017-01-07"
44819,"2017-01-07"
44820,"2017-01-07"
44830,"2017-01-07"
44832,"2017-01-07"
44833,"2017-01-07"
44837,"2017-01-07"
44840,"2017-01-07"
44842,"2017-01-07"
44848,"2017-01-07"
44849,"2017-01-07"
44852,"2017-01-07"
44853,"2017-01-07"
44855,"2017-01-07"
44856,"2017-01-07"
44857,"2017-01-07"
44859,"2017-01-07"
44861,"2017-01-07"
44862,"2017-01-07"
44865,"2017-01-07"
44868,"2017-01-07"
44870,"2017-01-07"
44874,"2017-01-07"
44878,"2017-01-07"
44884,"2017-01-07"
44885,"2017-01-07"
44891,"2017-01-07"
44893,"2017-01-07"
44895,"2017-01-07"
44903,"2017-01-07"
44904,"2017-01-07"
44909,"2017-01-07"
44910,"2017-01-07"
44914,"2017-01-07"
44916,"2017-01-07"
44918,"2017-01-07"
44922,"2017-01-07"
44923,"2017-01-07"
44924,"2017-01-07"
44927,"2017-01-07"
44932,"2017-01-07"
44933,"2017-01-07"
44935,"2017-01-07"
44946,"2017-01-07"
44948,"2017-01-07"
44956,"2017-01-07"
44962,"2017-01-07"
44964,"2017-01-07"
44968,"2017-01-07"
44973,"2017-01-07"
44976,"2017-01-07"
44978,"2017-01-07"
44980,"2017-01-07"
44983,"2017-01-07"
44988,"2017-01-07"
44990,"2017-01-07"
44992,"2017-01-07"
44995,"2017-01-07"
44996,"2017-01-07"
44998,"2017-01-07"
45000,"2017-01-07"
45004,"2017-01-07"
45006,"2017-01-07"
45007,"2017-01-07"
45013,"2017-01-07"
45023,"2017-01-07"
45024,"2017-01-07"
45025,"2017-01-07"
45026,"2017-01-07"
45029,"2017-01-07"
45033,"2017-01-07"
45037,"2017-01-07"
45041,"2017-01-07"
45042,"2017-01-07"
45052,"2017-01-07"
45062,"2017-01-07"
45065,"2017-01-07"
45066,"2017-01-07"
45099,"2017-01-07"
45101,"2017-01-07"
45102,"2017-01-07"
45108,"2017-01-07"
45109,"2017-01-07"
45112,"2017-01-07"
45124,"2017-01-07"
45125,"2017-01-07"
45126,"2017-01-07"
45127,"2017-01-07"
45129,"2017-01-07"
45135,"2017-01-07"
45138,"2017-01-07"
45139,"2017-01-07"
45140,"2017-01-07"
45144,"2017-01-07"
45146,"2017-01-07"
45147,"2017-01-07"
45148,"2017-01-07"
45149,"2017-01-07"
45151,"2017-01-07"
45152,"2017-01-07"
45153,"2017-01-07"
45155,"2017-01-07"
45158,"2017-01-07"
45159,"2017-01-07"
45161,"2017-01-07"
45162,"2017-01-07"
45166,"2017-01-07"
45172,"2017-01-07"
45173,"2017-01-07"
45174,"2017-01-07"
45176,"2017-01-07"
45177,"2017-01-07"
45178,"2017-01-07"
45181,"2017-01-07"
45187,"2017-01-07"
45189,"2017-01-07"
45199,"2017-01-07"
45202,"2017-01-07"
45203,"2017-01-07"
45204,"2017-01-07"
45206,"2017-01-07"
45214,"2017-01-07"
45215,"2017-01-07"
45216,"2017-01-07"
45217,"2017-01-07"
45220,"2017-01-07"
45223,"2017-01-07"
45224,"2017-01-07"
45226,"2017-01-07"
45228,"2017-01-07"
45229,"2017-01-07"
45230,"2017-01-07"
45232,"2017-01-07"
45233,"2017-01-07"
45234,"2017-01-07"
45235,"2017-01-07"
45237,"2017-01-07"
45244,"2017-01-07"
45247,"2017-01-07"
45248,"2017-01-07"
45253,"2017-01-07"
45256,"2017-01-07"
45259,"2017-01-07"
45260,"2017-01-07"
45261,"2017-01-07"
45263,"2017-01-07"
45264,"2017-01-07"
45265,"2017-01-07"
45266,"2017-01-07"
45268,"2017-01-07"
45271,"2017-01-07"
45272,"2017-01-07"
45273,"2017-01-07"
45274,"2017-01-07"
45277,"2017-01-07"
45279,"2017-01-07"
45286,"2017-01-07"
45289,"2017-01-07"
45292,"2017-01-07"
45294,"2017-01-07"
45296,"2017-01-07"
45301,"2017-01-07"
45302,"2017-01-07"
45304,"2017-01-07"
45305,"2017-01-07"
45306,"2017-01-07"
45307,"2017-01-07"
45309,"2017-01-07"
45310,"2017-01-07"
45313,"2017-01-07"
45314,"2017-01-07"
45316,"2017-01-07"
45317,"2017-01-07"
45319,"2017-01-07"
45320,"2017-01-07"
45322,"2017-01-07"
45324,"2017-01-07"
45326,"2017-01-07"
45327,"2017-01-07"
45329,"2017-01-07"
45330,"2017-01-07"
45331,"2017-01-07"
45333,"2017-01-07"
45334,"2017-01-07"
45338,"2017-01-07"
45339,"2017-01-07"
45341,"2017-01-07"
45342,"2017-01-07"
45344,"2017-01-07"
45348,"2017-01-07"
45350,"2017-01-07"
45351,"2017-01-07"
45352,"2017-01-07"
45353,"2017-01-07"
45354,"2017-01-07"
45356,"2017-01-07"
45359,"2017-01-07"
45360,"2017-01-07"
45361,"2017-01-07"
45362,"2017-01-07"
45363,"2017-01-07"
45364,"2017-01-07"
45365,"2017-01-07"
45366,"2017-01-07"
45367,"2017-01-07"
45368,"2017-01-07"
45370,"2017-01-07"
45371,"2017-01-07"
45373,"2017-01-07"
45374,"2017-01-07"
45377,"2017-01-07"
45378,"2017-01-07"
45379,"2017-01-07"
45380,"2017-01-07"
45387,"2017-01-07"
45392,"2017-01-07"
45393,"2017-01-07"
45397,"2017-01-07"
45398,"2017-01-07"
45401,"2017-01-07"
45404,"2017-01-07"
45405,"2017-01-07"
45407,"2017-01-07"
45408,"2017-01-07"
45409,"2017-01-07"
45411,"2017-01-07"
45414,"2017-01-07"
45420,"2017-01-07"
45421,"2017-01-07"
45424,"2017-01-07"
45427,"2017-01-07"
45430,"2017-01-07"
45431,"2017-01-07"
45432,"2017-01-07"
45433,"2017-01-07"
45434,"2017-01-07"
45435,"2017-01-07"
45437,"2017-01-07"
45438,"2017-01-07"
45439,"2017-01-07"
45441,"2017-01-07"
45443,"2017-01-07"
45445,"2017-01-07"
45446,"2017-01-07"
45447,"2017-01-07"
45449,"2017-01-07"
45451,"2017-01-07"
45453,"2017-01-07"
45455,"2017-01-13"
45456,"2017-01-07"
45457,"2017-01-07"
45459,"2017-01-07"
45460,"2017-01-07"
45464,"2017-01-07"
45465,"2017-01-07"
45467,"2017-01-07"
45474,"2017-01-07"
45475,"2017-01-07"
45479,"2017-01-07"
45480,"2017-01-07"
45482,"2017-01-07"
45483,"2017-01-07"
45485,"2017-01-07"
45486,"2017-01-07"
45487,"2017-01-07"
45488,"2017-01-07"
45489,"2017-01-07"
45490,"2017-01-07"
45491,"2017-01-07"
45498,"2017-01-07"
45501,"2017-01-07"
45506,"2017-01-07"
45507,"2017-01-07"
45508,"2017-01-07"
45509,"2017-01-07"
45510,"2017-01-07"
45512,"2017-01-07"
45513,"2017-01-07"
45515,"2017-01-07"
45519,"2017-01-07"
45520,"2017-01-07"
45522,"2017-01-07"
45523,"2017-01-07"
45525,"2017-01-07"
45526,"2017-01-07"
45528,"2017-01-07"
45530,"2017-01-07"
45532,"2017-01-07"
45533,"2017-01-07"
45534,"2017-01-07"
45537,"2017-01-07"
45538,"2017-01-07"
45539,"2017-01-07"
45540,"2017-01-07"
45541,"2017-01-07"
45544,"2017-01-07"
45547,"2017-01-07"
45548,"2017-01-07"
45549,"2017-01-07"
45551,"2017-01-07"
45552,"2017-01-07"
45553,"2017-01-07"
45554,"2017-01-07"
45555,"2017-01-07"
45556,"2017-01-07"
45557,"2017-01-07"
45562,"2017-01-07"
45564,"2017-01-07"
45565,"2017-01-07"
45566,"2017-01-07"
45567,"2017-01-07"
45571,"2017-01-07"
45572,"2017-01-07"
45573,"2017-01-07"
45574,"2017-01-07"
45575,"2017-01-07"
45576,"2017-01-07"
45577,"2017-01-07"
45578,"2017-01-07"
45579,"2017-01-07"
45580,"2017-01-07"
45581,"2017-01-07"
45586,"2017-01-07"
45589,"2017-01-07"
45591,"2017-01-07"
45592,"2017-01-07"
45594,"2017-01-07"
45596,"2017-01-07"
45597,"2017-01-07"
45598,"2017-01-07"
45602,"2017-01-07"
45604,"2017-01-07"
45609,"2017-01-07"
45611,"2017-01-07"
45612,"2017-01-07"
45613,"2017-01-07"
45614,"2017-01-07"
45617,"2017-01-07"
45618,"2017-01-07"
45619,"2017-01-07"
45620,"2017-01-07"
45621,"2017-01-07"
45622,"2017-01-07"
45623,"2017-01-07"
45629,"2017-01-07"
45630,"2017-01-07"
45631,"2017-01-07"
45632,"2017-01-07"
45633,"2017-01-07"
45634,"2017-01-07"
45635,"2017-01-07"
45638,"2017-01-07"
45639,"2017-01-07"
45641,"2017-01-07"
45642,"2017-01-07"
45648,"2017-01-07"
45652,"2017-01-07"
45653,"2017-01-07"
45655,"2017-01-07"
45657,"2017-01-07"
45658,"2017-01-07"
45659,"2017-01-07"
45663,"2017-01-07"
45664,"2017-01-07"
45666,"2017-01-07"
45667,"2017-01-07"
45670,"2017-01-07"
45672,"2017-01-07"
45673,"2017-01-07"
45674,"2017-01-07"
45675,"2017-01-07"
45676,"2017-01-07"
45677,"2017-01-07"
45681,"2017-01-07"
45683,"2017-01-07"
45686,"2017-01-07"
45687,"2017-01-07"
45689,"2017-01-07"
45690,"2017-01-07"
45693,"2017-01-07"
45694,"2017-01-07"
45696,"2017-01-07"
45697,"2017-01-07"
45700,"2017-01-07"
45704,"2017-01-07"
45706,"2017-01-07"
45707,"2017-01-07"
45708,"2017-01-07"
45710,"2017-01-07"
45711,"2017-01-07"
45713,"2017-01-07"
45717,"2017-01-07"
45723,"2017-01-07"
45724,"2017-01-07"
45725,"2017-01-07"
45727,"2017-01-07"
45730,"2017-01-07"
45737,"2017-01-07"
45740,"2017-01-07"
45744,"2017-01-07"
45746,"2017-01-07"
45752,"2017-01-07"
45754,"2017-01-07"
45755,"2017-01-07"
45756,"2017-01-07"
45757,"2017-01-07"
45758,"2017-01-07"
45759,"2017-01-07"
45760,"2017-01-07"
45762,"2017-01-07"
45764,"2017-01-07"
45765,"2017-01-07"
45767,"2017-01-07"
45768,"2017-01-07"
45770,"2017-01-07"
45773,"2017-01-07"
45775,"2017-01-07"
45776,"2017-01-07"
45777,"2017-01-07"
45782,"2017-01-07"
45783,"2017-01-07"
45784,"2017-01-07"
45785,"2017-01-07"
45786,"2017-01-07"
45787,"2017-01-07"
45790,"2017-01-07"
45791,"2017-01-07"
45793,"2017-01-07"
45794,"2017-01-07"
45796,"2017-01-07"
45798,"2017-01-07"
45803,"2017-01-07"
45804,"2017-01-07"
45806,"2017-01-07"
45809,"2017-01-07"
45811,"2017-01-07"
46009,"2017-01-07"
46010,"2017-01-07"
46011,"2017-01-07"
46013,"2017-01-07"
46015,"2017-01-07"
46018,"2017-01-07"
46019,"2017-01-07"
46020,"2017-01-07"
46021,"2017-01-07"
46024,"2017-01-07"
46025,"2017-01-07"
46026,"2017-01-07"
46029,"2017-01-07"
46030,"2017-01-07"
46031,"2017-01-07"
46036,"2017-01-07"
46038,"2017-01-07"
46039,"2017-01-07"
46046,"2017-01-07"
46048,"2017-01-07"
46049,"2017-01-07"
46054,"2017-01-07"
46058,"2017-01-07"
46061,"2017-01-07"
46063,"2017-01-07"
46064,"2017-01-07"
46070,"2017-01-07"
46072,"2017-01-07"
46074,"2017-01-07"
46076,"2017-01-07"
46078,"2017-01-07"
46079,"2017-01-07"
46080,"2017-01-07"
46083,"2017-01-07"
46086,"2017-01-07"
46087,"2017-01-07"
46088,"2017-01-07"
46089,"2017-01-07"
46090,"2017-01-07"
46093,"2017-01-07"
46094,"2017-01-07"
46095,"2017-01-07"
46097,"2017-01-07"
46098,"2017-01-07"
46100,"2017-01-07"
46102,"2017-01-07"
46105,"2017-01-07"
46109,"2017-01-07"
46110,"2017-01-07"
46115,"2017-01-07"
46118,"2017-01-07"
46119,"2017-01-07"
46121,"2017-01-07"
46124,"2017-01-07"
46131,"2017-01-07"
46134,"2017-01-07"
46135,"2017-01-07"
46136,"2017-01-07"
46137,"2017-01-07"
46140,"2017-01-07"
46143,"2017-01-07"
46145,"2017-01-07"
46146,"2017-01-10"
46147,"2017-01-07"
46149,"2017-01-07"
46159,"2017-01-07"
46160,"2017-01-07"
46161,"2017-01-07"
46166,"2017-01-07"
46169,"2017-01-07"
46175,"2017-01-07"
46182,"2017-01-07"
46183,"2017-01-07"
46184,"2017-01-07"
46185,"2017-01-07"
46189,"2017-01-07"
46190,"2017-01-07"
46191,"2017-01-07"
46194,"2017-01-07"
46195,"2017-01-07"
46197,"2017-01-07"
46198,"2017-01-07"
46201,"2017-01-07"
46203,"2017-01-07"
46205,"2017-01-07"
46214,"2017-01-07"
46215,"2017-01-07"
46217,"2017-01-07"
46218,"2017-01-07"
46222,"2017-01-07"
46228,"2017-01-07"
46232,"2017-01-07"
46233,"2017-01-07"
46240,"2017-01-07"
46241,"2017-01-07"
46242,"2017-01-07"
46243,"2017-01-07"
46245,"2017-01-07"
46247,"2017-01-07"
46248,"2017-01-07"
46250,"2017-01-07"
46251,"2017-01-07"
46253,"2017-01-07"
46254,"2017-01-07"
46255,"2017-01-07"
46256,"2017-01-07"
46259,"2017-01-07"
46260,"2017-01-07"
46262,"2017-01-07"
46264,"2017-01-07"
46265,"2017-01-07"
46267,"2017-01-07"
46269,"2017-01-07"
46272,"2017-01-07"
46273,"2017-01-07"
46274,"2017-01-07"
46276,"2017-01-07"
46277,"2017-01-07"
46279,"2017-01-07"
46280,"2017-01-07"
46281,"2017-01-07"
46282,"2017-01-07"
46283,"2017-01-07"
46284,"2017-01-07"
46287,"2017-01-07"
46288,"2017-01-07"
46293,"2017-01-07"
46296,"2017-01-07"
46297,"2017-01-07"
46300,"2017-01-07"
46304,"2017-01-07"
46307,"2017-01-07"
46314,"2017-01-07"
46315,"2017-01-07"
46317,"2017-01-07"
46318,"2017-01-07"
46322,"2017-01-07"
46325,"2017-01-07"
46333,"2017-01-07"
46342,"2017-01-07"
46345,"2017-01-07"
46347,"2017-01-07"
46348,"2017-01-07"
46354,"2017-01-07"
46356,"2017-01-07"
46360,"2017-01-07"
46361,"2017-01-07"
46364,"2017-01-07"
46366,"2017-01-07"
46367,"2017-01-07"
46372,"2017-01-07"
46374,"2017-01-07"
46377,"2017-01-07"
46378,"2017-01-07"
46379,"2017-01-07"
46381,"2017-01-07"
46383,"2017-01-07"
46384,"2017-01-07"
46385,"2017-01-07"
46387,"2017-01-07"
46392,"2017-01-07"
46394,"2017-01-07"
46395,"2017-01-07"
46401,"2017-01-07"
46402,"2017-01-07"
46406,"2017-01-07"
46409,"2017-01-07"
46411,"2017-01-07"
46412,"2017-01-07"
46414,"2017-01-07"
46415,"2017-01-07"
46416,"2017-01-07"
46421,"2017-01-07"
46426,"2017-01-07"
46427,"2017-01-07"
46438,"2017-01-07"
46442,"2017-01-07"
46443,"2017-01-07"
46444,"2017-01-07"
46452,"2017-01-07"
46453,"2017-01-07"
46455,"2017-01-07"
46456,"2017-01-07"
46457,"2017-01-07"
46461,"2017-01-07"
46466,"2017-01-07"
46473,"2017-01-07"
46474,"2017-01-07"
46475,"2017-01-07"
46479,"2017-01-07"
46480,"2017-01-07"
46481,"2017-01-07"
46486,"2017-01-07"
46487,"2017-01-07"
46491,"2017-01-07"
46492,"2017-01-07"
46495,"2017-01-07"
46496,"2017-01-07"
46504,"2017-01-07"
46507,"2017-01-07"
46508,"2017-01-07"
46512,"2017-01-07"
46514,"2017-01-07"
46521,"2017-01-07"
46522,"2017-01-07"
46527,"2017-01-10"
46533,"2017-01-07"
46535,"2017-01-07"
46538,"2017-01-07"
46541,"2017-01-07"
46543,"2017-01-07"
46544,"2017-01-07"
46545,"2017-01-07"
46549,"2017-01-07"
46551,"2017-01-07"
46560,"2017-01-07"
46566,"2017-01-07"
46569,"2017-01-07"
46575,"2017-01-07"
46576,"2017-01-07"
46579,"2017-01-07"
46583,"2017-01-07"
46584,"2017-01-07"
46596,"2017-01-07"
46607,"2017-01-07"
46614,"2017-01-07"
46617,"2017-01-07"
46739,"2017-01-07"
46750,"2017-01-07"
46777,"2017-01-07"
46780,"2017-01-07"
46810,"2017-01-09"
46817,"2017-01-09"
46901,"2017-01-09"
46912,"2017-01-09"
46919,"2017-01-09"
46927,"2017-01-10"
47016,"2017-01-10"
47019,"2017-01-10"
47029,"2017-01-11"
47078,"2017-01-11"
47172,"2017-01-12"
