usrid,0-core-email_failed,0-core-msg_contact_added,0-core-msg_sent,0-core-msg_view,0-core-usr_login_failed,0-core-usr_profile_view,0-core-usr_submitin,0-core-usr_submitout,0-core-usr_updated,0-forum-usr_report_view,1-core-crs_view,1-forum-crs_searched,1-report_outline-report_view,2666-assign-submission_form_view,2666-assign-submission_status_view,2666-core-crs_view,2666-core-usr_graded,2666-feedback-crs_mod_view,2666-feedback-response_log,2666-forum-assessable_uploaded,2666-forum-crs_mod_view,2666-forum-discussion_subscription_created,2666-forum-discussion_view,2666-forum-post_created,2666-gradereport_usr-grade_report_view,2666-page-crs_mod_view,2666-quiz-attempt_log,2666-quiz-attempt_started,2666-quiz-attempt_summary_view,2666-quiz-attempt_view,2666-quiz-crs_mod_view,3783-assign-crs_mod_instance_list_view,3783-assign-submission_form_view,3783-assign-submission_status_view,3783-core-crs_mod_completion_updated,3783-core-crs_view,3783-core-usr_graded,3783-core-usr_list_view,3783-core-usr_profile_view,3783-forum-assessable_uploaded,3783-forum-crs_mod_view,3783-forum-discussion_subscription_created,3783-forum-discussion_view,3783-forum-post_created,3783-forum-post_deleted,3783-forum-post_updated,3783-gradereport_usr-grade_report_view,3783-quiz-attempt_log,3783-quiz-attempt_review,3783-quiz-attempt_started,3783-quiz-attempt_summary_view,3783-quiz-attempt_view,3783-quiz-crs_mod_instance_list_view,3783-quiz-crs_mod_view,3789-assign-submission_form_view,3789-assign-submission_status_view,3789-core-crs_mod_completion_updated,3789-core-crs_view,3789-core-usr_graded,3789-core-usr_profile_view,3789-forum-assessable_uploaded,3789-forum-crs_mod_view,3789-forum-discussion_subscription_created,3789-forum-discussion_view,3789-forum-post_created,3789-gradereport_usr-grade_report_view,3789-page-crs_mod_view,3789-quiz-attempt_log,3789-quiz-attempt_review,3789-quiz-attempt_started,3789-quiz-attempt_summary_view,3789-quiz-attempt_view,3789-quiz-crs_mod_instance_list_view,3789-quiz-crs_mod_view,3792-assign-assessable_log,3792-assign-crs_mod_instance_list_view,3792-assign-submission_form_view,3792-assign-submission_status_view,3792-assignsubmission_file-assessable_uploaded,3792-assignsubmission_file-submission_created,3792-assignsubmission_file-submission_updated,3792-core-crs_mod_completion_updated,3792-core-crs_view,3792-core-usr_graded,3792-core-usr_list_view,3792-core-usr_profile_view,3792-forum-assessable_uploaded,3792-forum-crs_mod_view,3792-forum-discussion_subscription_created,3792-forum-discussion_subscription_deleted,3792-forum-discussion_view,3792-forum-post_created,3792-forum-post_updated,3792-gradereport_overview-grade_report_view,3792-gradereport_usr-grade_report_view,3792-page-crs_mod_view,3792-quiz-attempt_log,3792-quiz-attempt_review,3792-quiz-attempt_started,3792-quiz-attempt_summary_view,3792-quiz-attempt_view,3792-quiz-crs_mod_instance_list_view,3792-quiz-crs_mod_view,4873-assign-submission_form_view,4873-assign-submission_status_view,4873-core-crs_mod_completion_updated,4873-core-crs_view,4873-core-group_member_added,4873-core-usr_profile_view,4873-forum-assessable_uploaded,4873-forum-crs_mod_view,4873-forum-discussion_subscription_created,4873-forum-discussion_view,4873-forum-post_created,4873-page-crs_mod_view,4913-assign-submission_status_view,4913-core-crs_mod_completion_updated,4913-core-crs_view,4913-core-group_member_added,4913-core-usr_graded,4913-forum-crs_mod_view,4913-page-crs_mod_view,4913-quiz-attempt_log,4913-quiz-attempt_review,4913-quiz-attempt_started,4913-quiz-attempt_summary_view,4913-quiz-attempt_view,4913-quiz-crs_mod_instance_list_view,4913-quiz-crs_mod_view,4973-assign-assessable_log,4973-assign-submission_form_view,4973-assign-submission_status_view,4973-assignsubmission_file-assessable_uploaded,4973-assignsubmission_file-submission_created,4973-assignsubmission_file-submission_updated,4973-core-crs_mod_completion_updated,4973-core-crs_view,4973-core-group_member_added,4973-core-usr_graded,4973-core-usr_list_view,4973-core-usr_profile_view,4973-forum-assessable_uploaded,4973-forum-crs_mod_view,4973-forum-discussion_subscription_created,4973-forum-discussion_view,4973-forum-post_created,4973-gradereport_overview-grade_report_view,4973-gradereport_usr-grade_report_view,4973-page-crs_mod_view,4973-quiz-attempt_log,4973-quiz-attempt_review,4973-quiz-attempt_started,4973-quiz-attempt_summary_view,4973-quiz-attempt_view,4973-quiz-crs_mod_view,5004-assign-assessable_log,5004-assign-submission_form_view,5004-assign-submission_status_view,5004-assignsubmission_file-assessable_uploaded,5004-assignsubmission_file-submission_created,5004-assignsubmission_file-submission_updated,5004-core-crs_mod_completion_updated,5004-core-crs_view,5004-core-group_member_added,5004-core-usr_graded,5004-core-usr_profile_view,5004-forum-assessable_uploaded,5004-forum-crs_mod_view,5004-forum-discussion_subscription_created,5004-forum-discussion_view,5004-forum-post_created,5004-forum-post_deleted,5004-gradereport_overview-grade_report_view,5004-gradereport_usr-grade_report_view,5004-page-crs_mod_view,5004-quiz-attempt_log,5004-quiz-attempt_review,5004-quiz-attempt_started,5004-quiz-attempt_summary_view,5004-quiz-attempt_view,5004-quiz-crs_mod_view,5205-assign-assessable_log,5205-assign-submission_form_view,5205-assign-submission_status_view,5205-assignsubmission_file-assessable_uploaded,5205-assignsubmission_file-submission_created,5205-core-crs_mod_completion_updated,5205-core-crs_view,5205-core-group_member_added,5205-core-usr_graded,5205-core-usr_profile_view,5205-feedback-crs_mod_view,5205-forum-assessable_uploaded,5205-forum-crs_mod_view,5205-forum-discussion_subscription_created,5205-forum-discussion_view,5205-forum-post_created,5205-page-crs_mod_view,5205-quiz-attempt_log,5205-quiz-attempt_review,5205-quiz-attempt_started,5205-quiz-attempt_summary_view,5205-quiz-attempt_view,5205-quiz-crs_mod_instance_list_view,5205-quiz-crs_mod_view,5320-assign-assessable_log,5320-assign-submission_form_view,5320-assign-submission_status_view,5320-assignsubmission_file-assessable_uploaded,5320-assignsubmission_file-submission_created,5320-assignsubmission_file-submission_updated,5320-core-crs_mod_completion_updated,5320-core-crs_view,5320-core-group_member_added,5320-core-usr_graded,5320-core-usr_profile_view,5320-forum-assessable_uploaded,5320-forum-crs_mod_view,5320-forum-discussion_subscription_created,5320-forum-discussion_view,5320-forum-post_created,5320-gradereport_usr-grade_report_view,5320-page-crs_mod_view,5320-quiz-attempt_log,5320-quiz-attempt_review,5320-quiz-attempt_started,5320-quiz-attempt_summary_view,5320-quiz-attempt_view,5320-quiz-crs_mod_view,5343-assign-assessable_log,5343-assign-crs_mod_instance_list_view,5343-assign-submission_form_view,5343-assign-submission_status_view,5343-assignsubmission_file-assessable_uploaded,5343-assignsubmission_file-submission_created,5343-assignsubmission_file-submission_updated,5343-core-crs_mod_completion_updated,5343-core-crs_view,5343-core-group_member_added,5343-core-usr_graded,5343-core-usr_list_view,5343-core-usr_profile_view,5343-feedback-crs_mod_instance_list_view,5343-feedback-crs_mod_view,5343-forum-assessable_uploaded,5343-forum-crs_mod_instance_list_view,5343-forum-crs_mod_view,5343-forum-discussion_subscription_created,5343-forum-discussion_view,5343-forum-post_created,5343-gradereport_overview-grade_report_view,5343-gradereport_usr-grade_report_view,5343-page-crs_mod_view,5343-quiz-attempt_log,5343-quiz-attempt_review,5343-quiz-attempt_started,5343-quiz-attempt_summary_view,5343-quiz-attempt_view,5343-quiz-crs_mod_view,5460-core-role_assigned,5460-core-usr_enrolment_created,5837-assign-assessable_log,5837-assign-submission_form_view,5837-assign-submission_status_view,5837-assignsubmission_file-assessable_uploaded,5837-assignsubmission_file-submission_created,5837-assignsubmission_file-submission_updated,5837-core-crs_mod_completion_updated,5837-core-crs_view,5837-core-group_member_added,5837-core-group_member_removed,5837-core-usr_graded,5837-core-usr_profile_view,5837-forum-crs_mod_view,5837-forum-discussion_view,5837-gradereport_overview-grade_report_view,5837-gradereport_usr-grade_report_view,5837-page-crs_mod_view,5837-quiz-attempt_log,5837-quiz-attempt_review,5837-quiz-attempt_started,5837-quiz-attempt_summary_view,5837-quiz-attempt_view,5837-quiz-crs_mod_view,5966-assign-assessable_log,5966-assign-submission_form_view,5966-assign-submission_status_view,5966-assignsubmission_file-assessable_uploaded,5966-assignsubmission_file-submission_created,5966-assignsubmission_file-submission_updated,5966-core-crs_mod_completion_updated,5966-core-crs_view,5966-core-group_member_added,5966-core-group_member_removed,5966-core-usr_graded,5966-gradereport_overview-grade_report_view,5966-gradereport_usr-grade_report_view,5966-page-crs_mod_view,5966-quiz-attempt_log,5966-quiz-attempt_review,5966-quiz-attempt_started,5966-quiz-attempt_summary_view,5966-quiz-attempt_view,5966-quiz-crs_mod_instance_list_view,5966-quiz-crs_mod_view,5989-assign-assessable_log,5989-assign-submission_form_view,5989-assign-submission_status_view,5989-assignsubmission_file-assessable_uploaded,5989-assignsubmission_file-submission_created,5989-core-crs_mod_completion_updated,5989-core-crs_view,5989-core-group_member_added,5989-core-group_member_removed,5989-core-usr_graded,5989-core-usr_list_view,5989-core-usr_profile_view,5989-forum-assessable_uploaded,5989-forum-crs_mod_view,5989-forum-discussion_subscription_created,5989-forum-discussion_view,5989-forum-post_created,5989-gradereport_overview-grade_report_view,5989-gradereport_usr-grade_report_view,5989-page-crs_mod_view,5989-quiz-attempt_log,5989-quiz-attempt_review,5989-quiz-attempt_started,5989-quiz-attempt_summary_view,5989-quiz-attempt_view,5989-quiz-crs_mod_instance_list_view,5989-quiz-crs_mod_view,6758-core-crs_mod_completion_updated,6758-core-crs_view,6758-core-role_assigned,6758-core-usr_enrolment_created,6758-gradereport_overview-grade_report_view,6758-gradereport_usr-grade_report_view,6807-assign-submission_status_view,6807-core-crs_mod_completion_updated,6807-core-crs_view,6807-core-group_member_added,6807-core-usr_graded,6807-core-usr_profile_view,6807-forum-assessable_uploaded,6807-forum-crs_mod_view,6807-forum-discussion_subscription_created,6807-forum-discussion_view,6807-forum-post_created,6807-gradereport_overview-grade_report_view,6807-gradereport_usr-grade_report_view,6807-page-crs_mod_view,6807-quiz-attempt_log,6807-quiz-attempt_review,6807-quiz-attempt_started,6807-quiz-attempt_summary_view,6807-quiz-attempt_view,6807-quiz-crs_mod_instance_list_view,6807-quiz-crs_mod_view,6834-assign-submission_status_view,6834-core-crs_mod_completion_updated,6834-core-crs_view,6834-core-group_member_added,6834-core-usr_graded,6834-forum-assessable_uploaded,6834-forum-crs_mod_view,6834-forum-discussion_subscription_created,6834-forum-discussion_view,6834-forum-post_created,6834-gradereport_overview-grade_report_view,6834-gradereport_usr-grade_report_view,6834-page-crs_mod_view,6834-quiz-attempt_log,6834-quiz-attempt_review,6834-quiz-attempt_started,6834-quiz-attempt_summary_view,6834-quiz-attempt_view,6834-quiz-crs_mod_instance_list_view,6834-quiz-crs_mod_view,6989-core-crs_mod_completion_updated,6989-core-crs_view,6989-core-group_member_added,6989-core-usr_graded,6989-gradereport_overview-grade_report_view,6989-gradereport_usr-grade_report_view,6989-quiz-attempt_log,6989-quiz-attempt_review,6989-quiz-attempt_started,6989-quiz-attempt_summary_view,6989-quiz-attempt_view,6989-quiz-crs_mod_view,7091-assign-assessable_log,7091-assign-submission_form_view,7091-assign-submission_status_view,7091-assignsubmission_file-assessable_uploaded,7091-assignsubmission_file-submission_created,7091-core-crs_mod_completion_updated,7091-core-crs_view,7091-core-group_member_added,7091-core-usr_graded,7091-core-usr_profile_view,7091-forum-assessable_uploaded,7091-forum-crs_mod_view,7091-forum-discussion_subscription_created,7091-forum-discussion_view,7091-forum-post_created,7091-page-crs_mod_view,7091-quiz-attempt_log,7091-quiz-attempt_review,7091-quiz-attempt_started,7091-quiz-attempt_summary_view,7091-quiz-attempt_view,7091-quiz-crs_mod_view,7528-core-crs_mod_completion_updated,7528-core-crs_view,7528-core-group_member_added,7528-core-usr_graded,7528-feedback-crs_mod_instance_list_view,7528-gradereport_overview-grade_report_view,7528-gradereport_usr-grade_report_view,7528-quiz-attempt_log,7528-quiz-attempt_review,7528-quiz-attempt_started,7528-quiz-attempt_summary_view,7528-quiz-attempt_view,7528-quiz-crs_mod_instance_list_view,7528-quiz-crs_mod_view,7552-core-crs_mod_completion_updated,7552-core-crs_view,7552-core-group_member_added,7552-core-usr_graded,7552-gradereport_overview-grade_report_view,7552-gradereport_usr-grade_report_view,7552-page-crs_mod_view,7552-quiz-attempt_log,7552-quiz-attempt_review,7552-quiz-attempt_started,7552-quiz-attempt_summary_view,7552-quiz-attempt_view,7552-quiz-crs_mod_instance_list_view,7552-quiz-crs_mod_view,7697-core-crs_mod_completion_updated,7697-core-crs_view,7697-core-group_member_added,7697-core-usr_graded,7697-core-usr_profile_view,7697-forum-assessable_uploaded,7697-forum-crs_mod_view,7697-forum-discussion_subscription_created,7697-forum-discussion_view,7697-forum-post_created,7697-gradereport_overview-grade_report_view,7697-gradereport_usr-grade_report_view,7697-page-crs_mod_view,7697-quiz-attempt_log,7697-quiz-attempt_review,7697-quiz-attempt_started,7697-quiz-attempt_summary_view,7697-quiz-attempt_view,7697-quiz-crs_mod_instance_list_view,7697-quiz-crs_mod_view,8654-core-crs_mod_completion_updated,8654-core-crs_view,8654-core-group_member_added,8654-core-usr_graded,8654-gradereport_overview-grade_report_view,8654-gradereport_usr-grade_report_view,8654-page-crs_mod_view,8654-quiz-attempt_log,8654-quiz-attempt_review,8654-quiz-attempt_started,8654-quiz-attempt_summary_view,8654-quiz-attempt_view,8654-quiz-crs_mod_instance_list_view,8654-quiz-crs_mod_view,8655-core-crs_mod_completion_updated,8655-core-crs_view,8655-core-group_member_added,8655-core-usr_graded,8655-gradereport_overview-grade_report_view,8655-gradereport_usr-grade_report_view,8655-page-crs_mod_view,8655-quiz-attempt_log,8655-quiz-attempt_review,8655-quiz-attempt_started,8655-quiz-attempt_summary_view,8655-quiz-attempt_view,8655-quiz-crs_mod_instance_list_view,8655-quiz-crs_mod_view,8674-core-crs_mod_completion_updated,8674-core-crs_view,8674-core-group_member_added,8674-core-usr_graded,8674-gradereport_overview-grade_report_view,8674-gradereport_usr-grade_report_view,8674-page-crs_mod_view,8674-quiz-attempt_log,8674-quiz-attempt_review,8674-quiz-attempt_started,8674-quiz-attempt_summary_view,8674-quiz-attempt_view,8674-quiz-crs_mod_instance_list_view,8674-quiz-crs_mod_view,9265-core-crs_view,dat_firstac,dat_lastac,dat_lastlog,dat_matricula,tmp_entrar
30489,1.0,1.0,20.0,298.0,21.0,11.0,126.0,82.0,1.0,,340.0,,,,1.0,14.0,2.0,2.0,2.0,,,,,,,14.0,2.0,2.0,2.0,7.0,5.0,,,1.0,8.0,6.0,41.0,,4.0,5.0,17.0,3.0,25.0,4.0,,1.0,1.0,11.0,11.0,11.0,11.0,11.0,1.0,43.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,11.0,2.0,1.0,1.0,9.0,12.0,47.0,,4.0,2.0,13.0,2.0,,12.0,2.0,,,,,12.0,12.0,12.0,12.0,12.0,2.0,39.0,1.0,8.0,7.0,6.0,1.0,1.0,1.0,10.0,1.0,4.0,1.0,30.0,,,,,,,,,,,,,,,,,,,,,4.0,8.0,1.0,,1.0,1.0,1.0,4.0,1.0,5.0,1.0,,,14.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,3.0,10.0,1.0,4.0,3.0,3.0,11.0,2.0,11.0,3.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,1.0,1.0,,10.0,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,5.0,,,,,,,4.0,5.0,1.0,,19.0,,,4.0,3.0,3.0,3.0,4.0,4.0,1.0,9.0,,1.0,2.0,,,4.0,10.0,1.0,,19.0,,1.0,2.0,4.0,1.0,5.0,2.0,,,12.0,3.0,3.0,3.0,5.0,5.0,1.0,16.0,,3.0,1.0,1.0,,,7.0,2.0,18.0,1.0,14.0,2.0,1.0,15.0,1.0,9.0,1.0,,,7.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,8.0,1.0,10.0,1.0,,1.0,5.0,1.0,4.0,1.0,,,3.0,,,,,,,2.0,,,,,,,,,,,,,1.0,2.0,12.0,1.0,1.0,4.0,7.0,1.0,28.0,1.0,2.0,11.0,2.0,11.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30490,,1.0,44.0,422.0,13.0,19.0,223.0,18.0,3.0,5.0,779.0,,1.0,1.0,2.0,10.0,,,,,,,,,3.0,3.0,,,,,,2.0,2.0,6.0,9.0,58.0,28.0,1.0,4.0,18.0,19.0,3.0,37.0,13.0,1.0,5.0,4.0,9.0,9.0,9.0,9.0,9.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,7.0,2.0,1.0,1.0,10.0,72.0,34.0,3.0,9.0,17.0,14.0,4.0,1.0,31.0,11.0,6.0,4.0,10.0,,11.0,12.0,11.0,13.0,14.0,2.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,20.0,5.0,3.0,2.0,16.0,56.0,1.0,49.0,,,,2.0,,1.0,,2.0,16.0,15.0,6.0,6.0,6.0,6.0,6.0,14.0,4.0,4.0,38.0,4.0,3.0,1.0,16.0,96.0,1.0,39.0,,,2.0,,,,,2.0,19.0,22.0,7.0,7.0,7.0,7.0,7.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,51.0,4.0,3.0,1.0,17.0,106.0,1.0,50.0,3.0,2.0,2.0,3.0,2.0,1.0,10.0,1.0,12.0,2.0,3.0,24.0,27.0,7.0,7.0,7.0,8.0,9.0,21.0,,,4.0,5.0,36.0,5.0,4.0,1.0,12.0,92.0,2.0,1.0,57.0,1.0,5.0,1.0,6.0,22.0,7.0,10.0,10.0,10.0,10.0,10.0,33.0,6.0,4.0,30.0,6.0,4.0,2.0,12.0,62.0,2.0,1.0,55.0,6.0,18.0,2.0,7.0,7.0,7.0,7.0,8.0,1.0,19.0,3.0,4.0,35.0,4.0,4.0,9.0,67.0,3.0,2.0,38.0,1.0,,,3.0,,,,5.0,13.0,5.0,8.0,8.0,8.0,8.0,9.0,,17.0,1.0,11.0,1.0,1.0,1.0,1.0,,10.0,55.0,1.0,80.0,1.0,,2.0,,,,7.0,16.0,1.0,15.0,15.0,15.0,16.0,17.0,,51.0,,3.0,36.0,1.0,59.0,,,,,,4.0,9.0,,9.0,9.0,9.0,10.0,10.0,2.0,43.0,5.0,25.0,1.0,48.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,19.0,,,,,,,,,,,,,,,,,,,,,,,2.0,38.0,1.0,56.0,1.0,4.0,8.0,8.0,8.0,8.0,9.0,12.0,14.0,36.0,7.0,24.0,1.0,37.0,1.0,2.0,8.0,4.0,4.0,4.0,5.0,5.0,4.0,15.0,9.0,30.0,1.0,37.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,13.0,4.0,4.0,4.0,5.0,6.0,6.0,17.0,9.0,25.0,1.0,19.0,4.0,2.0,8.0,3.0,3.0,3.0,3.0,3.0,8.0,13.0,9.0,25.0,1.0,19.0,1.0,3.0,11.0,3.0,3.0,3.0,4.0,5.0,6.0,12.0,7.0,19.0,1.0,19.0,1.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,10.0,1.0,,,,,
30491,,,178.0,220.0,9.0,3.0,114.0,2.0,,,294.0,1.0,,,,12.0,,,,1.0,1.0,1.0,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,9.0,29.0,38.0,4.0,15.0,34.0,3.0,55.0,15.0,2.0,4.0,11.0,12.0,11.0,13.0,13.0,4.0,45.0,1.0,,1.0,9.0,1.0,1.0,,12.0,43.0,40.0,,5.0,17.0,32.0,4.0,,54.0,15.0,2.0,,3.0,4.0,12.0,14.0,12.0,13.0,13.0,1.0,52.0,,,,,,,,,,,,,1.0,11.0,48.0,1.0,19.0,7.0,33.0,3.0,3.0,3.0,3.0,3.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,24.0,3.0,3.0,16.0,58.0,1.0,45.0,2.0,1.0,1.0,10.0,1.0,15.0,1.0,48.0,7.0,7.0,7.0,8.0,8.0,1.0,10.0,6.0,6.0,31.0,6.0,4.0,2.0,17.0,58.0,1.0,35.0,1.0,1.0,6.0,1.0,16.0,1.0,1.0,43.0,5.0,5.0,5.0,6.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30492,,,,122.0,,3.0,14.0,,,,16.0,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,6.0,26.0,,,,1.0,,1.0,,,,3.0,6.0,6.0,6.0,6.0,6.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,26.0,,,,,,,,,,1.0,6.0,,6.0,6.0,6.0,7.0,7.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
